기관코드,검사코드,검사명,기기회사,기기,시약회사,시약,검사방법,CCA-25-04,CCA-25-05,CCA-25-06
LAB_057,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1300 Analyzer,,,,52.0,739.0,5625.0
LAB_058,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i2000,,,,56.0,588.0,2117.0
LAB_059,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,52.57,743.28,5741.05
LAB_060,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i2000,,,,52.3,607.75,2099.633
LAB_061,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,29.73,379.83,1540.663
LAB_062,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,46.6,502.9,1798.2
LAB_063,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,49.3,520.0,1910.8
LAB_064,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,46.2,496.5,1873.8
LAB_065,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1300 Analyzer,,,,56.0,775.0,6138.0
LAB_066,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,Access2,,,,29.5,331.0,1281.5
LAB_067,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,57.0,746.0,5882.0
LAB_068,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i2000,,,,50.7,570.9,1926.35
LAB_069,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,47.8,526.6,1901.0
LAB_070,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i1000,,,,46.5,560.9,2002.0
LAB_071,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,31.5,368.3,1595.6
LAB_072,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,53.0,723.0,5430.0
LAB_073,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,43.0,488.0,1862.0
LAB_074,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,45.83,507.98,1905.21
LAB_075,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,55.0,784.0,5910.0
LAB_076,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,42.917,500.683,1840.778
LAB_077,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,43.4,517.3,1916.75
LAB_078,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,47.0,515.0,1925.0
LAB_079,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,56.408,781.741,5963.109
LAB_080,T902,High-Sensitivity Cardiac Troponin I,Biomerieux,Vidas,,,,22.0,285.0,3953.0
LAB_081,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,45.4,527.9,1917.4
LAB_082,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1300 Analyzer,,,,53.92,747.63,5788.25
LAB_083,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,57.44,772.85,5983.4
LAB_084,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1300 Analyzer,,,,58.0,780.0,6219.0
